College ID,School,City,State,Instate Tuition,Out of ST Tuition,Room & Board,% Need Filled,Gift Aid%,Loans/Jobs
1,Colorado Mountain College,Glenwood Springs,Colorado,"$1,670","$7,880","$7,400",Not reported,Not Reported,Not Reported
2,Penn State Berks,Reading,Pennsylvania,"$13,250","$19,828","$9,820",58%,31%,69%
3,Humacao Community College,Humacao,Puerto Rico,"$6,340","$6,340",&nbsp;,Not reported,Not Reported,Not Reported
4,Lake Erie College,Painesville,Ohio,"$25,674","$25,674","$8,192",85%,Not Reported,Not Reported
5,Lincoln Memorial University,Harrogate,Tennessee,"$16,200","$16,200","$5,780",78%,68%,32%
6,Quincy University,Quincy,Illinois,"$23,000","$23,000","$8,960",85%,65%,35%
7
8
9,Cuyamaca College,El Cajon,California,$820,"$6,400",&nbsp;,Not reported,Not Reported,Not Reported
10
11,Paralegal Institute,Glendale,Arizona,&nbsp;,&nbsp;,&nbsp;,Not reported,Not Reported,Not Reported
12,Copper Mountain College,Joshua Tree,California,$782,"$6,272",&nbsp;,Not reported,Not Reported,Not Reported
13,Fullerton College,Fullerton,California,$812,"$6,302",&nbsp;,Not reported,Not Reported,Not Reported
14,Colorado State University,Fort Collins,Colorado,"$6,985","$23,095","$8,744",78%,42%,58%
15,Cornell University,Ithaca,New York,"$39,666","$39,666","$12,650",100%,86%,14%
16,Penn State Worthington Scranton,Dunmore,Pennsylvania,"$12,596","$18,852",&nbsp;,66%,35%,65%
17
18,Central Piedmont Community College,Charlotte,North Carolina,"$1,783","$7,543",&nbsp;,Not reported,Not Reported,Not Reported
19,Central Virginia Community College,Lynchburg,Virginia,"$3,345","$8,653",&nbsp;,Not reported,Not Reported,Not Reported
20
21,Southwest Florida College,Myers,Florida,"$14,850","$14,850",&nbsp;,Not reported,35%,65%
22,Umpqua Community College,Roseburg,Oregon,"$3,585","$9,075",&nbsp;,87%,46%,54%
23,Wenatchee Valley College,Wenatchee,Washington,"$3,231","$3,631",&nbsp;,Not reported,Not Reported,Not Reported
24
25
26
27,Lyme Academy College of Fine Arts,Old Lyme,Connecticut,"$24,684","$24,684",&nbsp;,Not reported,51%,49%
28,Black River Technical College,Pocahontas,Arkansas,"$2,460","$5,820",&nbsp;,Not reported,Not Reported,Not Reported
29,Charles Drew University of Medicine and Science,Los Angeles,California,"$11,402","$11,402",&nbsp;,Not reported,13%,87%
30
31,Landmark College,Putney,Vermont,"$48,000","$48,000","$8,500",35%,78%,22%
32,Central Maine Medical Center College of Nursing and Health Professions,Lewiston,Maine,"$7,930","$7,930",&nbsp;,80%,22%,78%
33,SUNY College at Old Westbury,Old Westbury,New York,"$5,966","$14,376","$9,700",44%,49%,51%
34,Barnard College,New York,New York,"$40,546","$40,546","$12,950",100%,82%,18%
35,Jacksonville State University,Jacksonville,Alabama,"$6,780","$13,560","$6,162",Not reported,Not Reported,Not Reported
36,Ursuline College,Pepper Pike,Ohio,"$23,940","$23,940","$7,970",86%,41%,59%
37,Northampton Community College,Bethlehem,Pennsylvania,"$3,270","$10,650","$7,066",Not reported,62%,38%
38,West Chester University of Pennsylvania,West Chester,Pennsylvania,"$7,680","$16,386","$7,372",57%,23%,77%
39,Boston University,Boston,Massachusetts,"$39,864","$39,864","$12,260",91%,67%,33%
